n,k,theta,tempo_esecuzione, result
100,100,0.100000,0.218014,0
100,100,0.100000,0.011870,0
100,100,0.100000,0.007086,0
100,100,0.100000,0.007196,0
100,100,0.100000,0.007070,0
100,100,0.100000,0.007427,0
100,100,0.100000,0.007047,0
100,100,0.100000,0.007319,0
100,100,0.100000,0.019329,0
100,100,0.100000,0.007485,0
100,100,0.100000,0.007255,0
100,100,0.100000,0.007580,0
100,100,0.100000,0.007121,0
100,100,0.100000,0.007756,0
100,100,0.100000,0.007665,0
100,100,0.100000,0.007746,0
100,100,0.100000,0.007322,0
100,100,0.100000,0.019628,0
100,100,0.100000,0.007330,0
100,100,0.100000,0.019549,0
100,100,0.100000,0.007245,0
100,100,0.100000,0.006818,0
100,100,0.100000,0.007288,0
100,100,0.100000,0.007082,0
100,100,0.100000,0.007197,0
100,100,0.100000,0.007747,0
100,100,0.100000,0.007297,0
100,100,0.100000,0.007977,0
100,100,0.100000,0.007130,0
100,100,0.100000,0.007270,0
200,200,0.100000,0.048406,0
200,200,0.100000,0.029690,0
200,200,0.100000,0.018795,0
200,200,0.100000,0.044629,0
200,200,0.100000,0.017970,0
200,200,0.100000,0.018958,0
200,200,0.100000,0.019570,0
200,200,0.100000,0.018740,0
200,200,0.100000,0.019759,0
200,200,0.100000,0.019190,0
200,200,0.100000,0.041373,0
200,200,0.100000,0.018615,0
200,200,0.100000,0.018525,0
200,200,0.100000,0.018541,0
200,200,0.100000,0.018740,0
200,200,0.100000,0.023828,0
200,200,0.100000,0.019591,0
200,200,0.100000,0.017855,0
200,200,0.100000,0.018542,0
200,200,0.100000,0.019405,0
200,200,0.100000,0.019688,0
200,200,0.100000,0.020190,0
200,200,0.100000,0.019954,0
200,200,0.100000,0.020486,0
200,200,0.100000,0.019934,0
200,200,0.100000,0.019287,0
200,200,0.100000,0.018581,0
200,200,0.100000,0.042598,0
200,200,0.100000,0.022859,0
200,200,0.100000,0.023072,0
300,300,0.100000,0.047751,0
300,300,0.100000,0.047729,0
300,300,0.100000,0.046897,0
300,300,0.100000,0.047762,0
300,300,0.100000,0.081492,0
300,300,0.100000,0.043059,0
300,300,0.100000,0.043107,0
300,300,0.100000,0.043391,0
300,300,0.100000,0.052620,0
300,300,0.100000,0.043525,0
300,300,0.100000,0.043844,0
300,300,0.100000,0.042800,0
300,300,0.100000,0.048100,0
300,300,0.100000,0.081719,0
300,300,0.100000,0.041059,0
300,300,0.100000,0.041814,0
300,300,0.100000,0.080530,0
300,300,0.100000,0.080738,0
300,300,0.100000,0.044785,0
300,300,0.100000,0.048594,0
300,300,0.100000,0.041285,0
300,300,0.100000,0.041429,0
300,300,0.100000,0.046306,0
300,300,0.100000,0.042280,0
300,300,0.100000,0.044153,0
300,300,0.100000,0.041498,0
300,300,0.100000,0.042277,0
300,300,0.100000,0.040860,0
300,300,0.100000,0.046428,0
300,300,0.100000,0.047674,0
400,400,0.100000,0.123991,1
400,400,0.100000,0.073924,1
400,400,0.100000,0.073890,1
400,400,0.100000,0.073006,1
400,400,0.100000,0.074412,1
400,400,0.100000,0.070632,1
400,400,0.100000,0.069830,1
400,400,0.100000,0.071517,1
400,400,0.100000,0.068214,1
400,400,0.100000,0.069744,1
400,400,0.100000,0.069145,1
400,400,0.100000,0.067908,1
400,400,0.100000,0.068012,1
400,400,0.100000,0.119859,1
400,400,0.100000,0.069204,1
400,400,0.100000,0.071364,1
400,400,0.100000,0.068084,1
400,400,0.100000,0.120941,1
400,400,0.100000,0.071760,1
400,400,0.100000,0.068834,1
400,400,0.100000,0.069726,1
400,400,0.100000,0.072429,1
400,400,0.100000,0.067583,1
400,400,0.100000,0.068776,1
400,400,0.100000,0.071534,1
400,400,0.100000,0.070291,1
400,400,0.100000,0.069311,1
400,400,0.100000,0.076019,1
400,400,0.100000,0.068490,1
400,400,0.100000,0.068153,1
500,500,0.100000,0.168386,0
500,500,0.100000,0.109544,0
500,500,0.100000,0.111426,0
500,500,0.100000,0.115538,0
500,500,0.100000,0.114931,0
500,500,0.100000,0.171694,0
500,500,0.100000,0.171011,0
500,500,0.100000,0.109708,0
500,500,0.100000,0.107827,0
500,500,0.100000,0.107884,0
500,500,0.100000,0.109986,0
500,500,0.100000,0.108683,0
500,500,0.100000,0.109076,0
500,500,0.100000,0.107640,0
500,500,0.100000,0.123576,0
500,500,0.100000,0.108239,0
500,500,0.100000,0.107668,0
500,500,0.100000,0.111233,0
500,500,0.100000,0.114766,0
500,500,0.100000,0.112363,0
500,500,0.100000,0.111858,0
500,500,0.100000,0.109629,0
500,500,0.100000,0.110813,0
500,500,0.100000,0.111273,0
500,500,0.100000,0.110640,0
500,500,0.100000,0.114528,0
500,500,0.100000,0.124210,0
500,500,0.100000,0.111205,0
500,500,0.100000,0.170928,0
500,500,0.100000,0.108307,0
600,600,0.100000,0.168827,0
600,600,0.100000,0.171246,0
600,600,0.100000,0.170106,0
600,600,0.100000,0.228663,0
600,600,0.100000,0.239423,0
600,600,0.100000,0.171563,0
600,600,0.100000,0.222536,0
600,600,0.100000,0.172964,0
600,600,0.100000,0.171326,0
600,600,0.100000,0.193988,0
600,600,0.100000,0.170768,0
600,600,0.100000,0.171968,0
600,600,0.100000,0.170593,0
600,600,0.100000,0.239034,0
600,600,0.100000,0.240756,0
600,600,0.100000,0.170526,0
600,600,0.100000,0.185078,0
600,600,0.100000,0.170954,0
600,600,0.100000,0.171854,0
600,600,0.100000,0.172063,0
600,600,0.100000,0.240237,0
600,600,0.100000,0.173857,0
600,600,0.100000,0.172820,0
600,600,0.100000,0.172172,0
600,600,0.100000,0.178175,0
600,600,0.100000,0.171398,0
600,600,0.100000,0.173266,0
600,600,0.100000,0.171184,0
600,600,0.100000,0.174989,0
600,600,0.100000,0.175787,0
700,700,0.100000,0.252867,1
700,700,0.100000,0.256706,1
700,700,0.100000,0.255944,1
700,700,0.100000,0.252049,1
700,700,0.100000,0.252470,1
700,700,0.100000,0.249600,1
700,700,0.100000,0.249826,1
700,700,0.100000,0.253363,1
700,700,0.100000,0.250665,1
700,700,0.100000,0.248483,1
700,700,0.100000,0.255988,1
700,700,0.100000,0.256349,1
700,700,0.100000,0.250132,1
700,700,0.100000,0.252545,1
700,700,0.100000,0.256030,1
700,700,0.100000,0.250978,1
700,700,0.100000,0.249107,1
700,700,0.100000,0.252211,1
700,700,0.100000,0.247585,1
700,700,0.100000,0.326329,1
700,700,0.100000,0.248044,1
700,700,0.100000,0.250229,1
700,700,0.100000,0.250511,1
700,700,0.100000,0.247778,1
700,700,0.100000,0.248917,1
700,700,0.100000,0.249180,1
700,700,0.100000,0.251514,1
700,700,0.100000,0.248164,1
700,700,0.100000,0.247237,1
700,700,0.100000,0.255629,1
800,800,0.100000,0.359418,0
800,800,0.100000,0.358496,0
800,800,0.100000,0.357887,0
800,800,0.100000,0.355068,0
800,800,0.100000,0.356989,0
800,800,0.100000,0.358875,0
800,800,0.100000,0.356806,0
800,800,0.100000,0.360089,0
800,800,0.100000,0.354070,0
800,800,0.100000,0.444988,0
800,800,0.100000,0.356912,0
800,800,0.100000,0.442679,0
800,800,0.100000,0.359410,0
800,800,0.100000,0.360767,0
800,800,0.100000,0.357020,0
800,800,0.100000,0.359564,0
800,800,0.100000,0.445511,0
800,800,0.100000,0.355412,0
800,800,0.100000,0.356769,0
800,800,0.100000,0.445936,0
800,800,0.100000,0.359150,0
800,800,0.100000,0.391517,0
800,800,0.100000,0.358937,0
800,800,0.100000,0.359968,0
800,800,0.100000,0.445514,0
800,800,0.100000,0.359899,0
800,800,0.100000,0.442674,0
800,800,0.100000,0.359285,0
800,800,0.100000,0.445286,0
800,800,0.100000,0.357990,0
900,900,0.100000,0.474938,0
900,900,0.100000,0.471293,0
900,900,0.100000,0.471148,0
900,900,0.100000,0.473074,0
900,900,0.100000,0.473598,0
900,900,0.100000,0.562576,0
900,900,0.100000,0.504049,0
900,900,0.100000,0.473370,0
900,900,0.100000,0.473178,0
900,900,0.100000,0.475647,0
900,900,0.100000,0.474852,0
900,900,0.100000,0.474966,0
900,900,0.100000,0.474944,0
900,900,0.100000,0.471747,0
900,900,0.100000,0.474583,0
900,900,0.100000,0.475313,0
900,900,0.100000,0.472103,0
900,900,0.100000,0.469535,0
900,900,0.100000,0.475114,0
900,900,0.100000,0.477165,0
900,900,0.100000,0.469373,0
900,900,0.100000,0.568501,0
900,900,0.100000,0.474099,0
900,900,0.100000,0.478461,0
900,900,0.100000,0.471511,0
900,900,0.100000,0.474223,0
900,900,0.100000,0.473371,0
900,900,0.100000,0.469298,0
900,900,0.100000,0.471699,0
900,900,0.100000,0.570248,0
1000,1000,0.100000,0.631675,1
1000,1000,0.100000,0.630910,1
1000,1000,0.100000,0.636863,1
1000,1000,0.100000,0.629992,1
1000,1000,0.100000,0.627519,1
1000,1000,0.100000,0.653036,1
1000,1000,0.100000,0.631462,1
1000,1000,0.100000,0.628883,1
1000,1000,0.100000,0.629962,1
1000,1000,0.100000,0.712537,1
1000,1000,0.100000,0.629598,1
1000,1000,0.100000,0.736051,1
1000,1000,0.100000,0.631941,1
1000,1000,0.100000,0.633167,1
1000,1000,0.100000,0.628766,1
1000,1000,0.100000,0.630856,1
1000,1000,0.100000,0.634004,1
1000,1000,0.100000,0.727242,1
1000,1000,0.100000,0.627556,1
1000,1000,0.100000,0.629443,1
1000,1000,0.100000,0.729646,1
1000,1000,0.100000,0.630449,1
1000,1000,0.100000,0.633163,1
1000,1000,0.100000,0.734513,1
1000,1000,0.100000,0.735557,1
1000,1000,0.100000,0.735445,1
1000,1000,0.100000,0.737405,1
1000,1000,0.100000,0.732694,1
1000,1000,0.100000,0.728203,1
1000,1000,0.100000,0.632428,1
1100,1100,0.100000,0.759230,0
1100,1100,0.100000,0.758926,0
1100,1100,0.100000,0.760768,0
1100,1100,0.100000,0.761450,0
1100,1100,0.100000,0.757357,0
1100,1100,0.100000,0.758810,0
1100,1100,0.100000,0.758950,0
1100,1100,0.100000,0.864590,0
1100,1100,0.100000,0.760071,0
1100,1100,0.100000,0.890265,0
1100,1100,0.100000,0.768208,0
1100,1100,0.100000,0.756417,0
1100,1100,0.100000,0.774310,0
1100,1100,0.100000,0.759709,0
1100,1100,0.100000,0.759303,0
1100,1100,0.100000,0.797463,0
1100,1100,0.100000,0.761534,0
1100,1100,0.100000,0.757416,0
1100,1100,0.100000,0.758024,0
1100,1100,0.100000,0.761501,0
1100,1100,0.100000,0.760389,0
1100,1100,0.100000,0.760542,0
1100,1100,0.100000,0.759286,0
1100,1100,0.100000,0.758625,0
1100,1100,0.100000,0.759601,0
1100,1100,0.100000,0.757941,0
1100,1100,0.100000,0.757999,0
1100,1100,0.100000,0.889201,0
1100,1100,0.100000,0.871827,0
1100,1100,0.100000,0.760945,0
1200,1200,0.100000,0.881355,0
1200,1200,0.100000,0.883806,0
1200,1200,0.100000,0.883937,0
1200,1200,0.100000,1.051020,0
1200,1200,0.100000,0.885215,0
1200,1200,0.100000,0.882264,0
1200,1200,0.100000,0.885529,0
1200,1200,0.100000,0.879110,0
