n,k,theta,tempo_esecuzione, result
512,512,0.100000,0.193307,1
512,512,0.100000,0.038451,1
512,512,0.100000,0.039082,1
512,512,0.100000,0.039650,1
512,512,0.100000,0.039814,1
512,512,0.100000,0.039552,1
512,512,0.100000,0.039469,1
512,512,0.100000,0.039392,1
512,512,0.100000,0.039497,1
512,512,0.100000,0.039067,1
1024,1024,0.100000,0.134761,0
1024,1024,0.100000,0.134718,0
1024,1024,0.100000,0.129988,0
1024,1024,0.100000,0.142850,0
1024,1024,0.100000,0.136451,0
1024,1024,0.100000,0.132886,0
1024,1024,0.100000,0.146259,0
1024,1024,0.100000,0.138393,0
1024,1024,0.100000,0.137193,0
1024,1024,0.100000,0.137886,0
1536,1536,0.100000,0.306124,1
1536,1536,0.100000,0.307256,1
1536,1536,0.100000,0.308245,1
1536,1536,0.100000,0.303130,1
1536,1536,0.100000,0.303404,1
1536,1536,0.100000,0.303912,1
1536,1536,0.100000,0.302642,1
1536,1536,0.100000,0.297258,1
1536,1536,0.100000,0.300448,1
1536,1536,0.100000,0.303345,1
2048,2048,0.100000,0.547312,0
2048,2048,0.100000,0.543960,0
2048,2048,0.100000,0.545536,0
2048,2048,0.100000,0.545696,0
2048,2048,0.100000,0.546110,0
2048,2048,0.100000,0.542569,0
2048,2048,0.100000,0.540689,0
2048,2048,0.100000,0.539038,0
2048,2048,0.100000,0.544047,0
2048,2048,0.100000,0.545934,0
2560,2560,0.100000,0.972832,0
2560,2560,0.100000,0.966262,0
2560,2560,0.100000,0.962568,0
2560,2560,0.100000,0.957587,0
2560,2560,0.100000,0.971979,0
2560,2560,0.100000,0.968001,0
2560,2560,0.100000,0.964694,0
2560,2560,0.100000,0.969709,0
2560,2560,0.100000,0.958367,0
2560,2560,0.100000,0.969410,0
3072,3072,0.100000,1.464660,0
3072,3072,0.100000,1.461443,0
3072,3072,0.100000,1.462156,0
3072,3072,0.100000,1.465878,0
3072,3072,0.100000,1.459871,0
3072,3072,0.100000,1.460729,0
3072,3072,0.100000,1.450276,0
3072,3072,0.100000,1.467502,0
3072,3072,0.100000,1.464622,0
3072,3072,0.100000,1.463389,0
3584,3584,0.100000,2.000219,0
3584,3584,0.100000,2.002198,0
3584,3584,0.100000,2.010254,0
3584,3584,0.100000,2.008897,0
3584,3584,0.100000,2.003722,0
3584,3584,0.100000,2.001132,0
3584,3584,0.100000,2.001919,0
3584,3584,0.100000,2.061335,0
3584,3584,0.100000,2.000931,0
3584,3584,0.100000,2.002781,0
4096,4096,0.100000,2.898413,0
4096,4096,0.100000,2.893471,0
4096,4096,0.100000,2.887782,0
4096,4096,0.100000,2.892353,0
4096,4096,0.100000,2.891627,0
4096,4096,0.100000,2.884090,0
4096,4096,0.100000,2.881363,0
4096,4096,0.100000,2.889388,0
4096,4096,0.100000,2.878195,0
4096,4096,0.100000,2.883779,0
4608,4608,0.100000,3.760539,0
4608,4608,0.100000,3.678698,0
4608,4608,0.100000,3.673313,0
4608,4608,0.100000,3.660858,0
4608,4608,0.100000,3.664792,0
4608,4608,0.100000,3.683546,0
4608,4608,0.100000,3.664506,0
4608,4608,0.100000,3.663608,0
4608,4608,0.100000,3.668514,0
4608,4608,0.100000,3.673687,0
5120,5120,0.100000,5.093019,0
5120,5120,0.100000,5.032230,0
5120,5120,0.100000,5.035948,0
5120,5120,0.100000,5.047284,0
5120,5120,0.100000,5.031697,0
5120,5120,0.100000,5.012140,0
5120,5120,0.100000,5.043193,0
5120,5120,0.100000,5.030006,0
5120,5120,0.100000,5.029027,0
5120,5120,0.100000,5.040884,0
