n,k,theta,tempo_esecuzione, result
512,512,0.100000,0.206774,1
512,512,0.100000,0.058479,1
512,512,0.100000,0.058708,1
512,512,0.100000,0.063569,1
512,512,0.100000,0.106287,1
512,512,0.100000,0.059313,1
512,512,0.100000,0.059418,1
512,512,0.100000,0.058469,1
512,512,0.100000,0.112635,1
512,512,0.100000,0.058845,1
1024,1024,0.100000,0.126911,0
1024,1024,0.100000,0.127270,0
1024,1024,0.100000,0.145090,0
1024,1024,0.100000,0.127474,0
1024,1024,0.100000,0.123826,0
1024,1024,0.100000,0.123595,0
1024,1024,0.100000,0.127126,0
1024,1024,0.100000,0.127544,0
1024,1024,0.100000,0.126030,0
1024,1024,0.100000,0.123736,0
1536,1536,0.100000,0.210202,1
1536,1536,0.100000,0.210392,1
1536,1536,0.100000,0.208067,1
1536,1536,0.100000,0.208000,1
1536,1536,0.100000,0.208171,1
1536,1536,0.100000,0.210936,1
1536,1536,0.100000,0.210221,1
1536,1536,0.100000,0.211206,1
1536,1536,0.100000,0.212518,1
1536,1536,0.100000,0.207068,1
2048,2048,0.100000,0.288239,0
2048,2048,0.100000,0.282385,0
2048,2048,0.100000,0.311041,0
2048,2048,0.100000,0.307244,0
2048,2048,0.100000,0.287464,0
2048,2048,0.100000,0.286060,0
2048,2048,0.100000,0.287355,0
2048,2048,0.100000,0.285096,0
2048,2048,0.100000,0.303376,0
2048,2048,0.100000,0.292506,0
2560,2560,0.100000,0.373605,0
2560,2560,0.100000,0.399557,0
2560,2560,0.100000,0.371190,0
2560,2560,0.100000,0.375509,0
2560,2560,0.100000,0.374976,0
2560,2560,0.100000,0.391529,0
2560,2560,0.100000,0.373452,0
2560,2560,0.100000,0.403533,0
2560,2560,0.100000,0.393842,0
2560,2560,0.100000,0.391209,0
3072,3072,0.100000,0.494529,0
3072,3072,0.100000,0.436933,0
3072,3072,0.100000,0.462835,0
3072,3072,0.100000,0.456314,0
3072,3072,0.100000,0.453893,0
3072,3072,0.100000,0.463254,0
3072,3072,0.100000,0.462354,0
3072,3072,0.100000,0.464954,0
3072,3072,0.100000,0.459819,0
3072,3072,0.100000,0.479891,0
3584,3584,0.100000,0.524650,0
3584,3584,0.100000,0.521313,0
3584,3584,0.100000,0.510692,0
3584,3584,0.100000,0.533685,0
3584,3584,0.100000,0.539490,0
3584,3584,0.100000,0.526502,0
3584,3584,0.100000,0.512378,0
3584,3584,0.100000,0.553774,0
3584,3584,0.100000,0.523981,0
3584,3584,0.100000,0.529542,0
4096,4096,0.100000,0.658143,0
4096,4096,0.100000,0.649155,0
4096,4096,0.100000,0.639895,0
4096,4096,0.100000,0.648918,0
4096,4096,0.100000,0.647503,0
4096,4096,0.100000,0.642123,0
4096,4096,0.100000,0.642396,0
4096,4096,0.100000,0.664995,0
4096,4096,0.100000,0.639457,0
4096,4096,0.100000,0.699143,0
4608,4608,0.100000,0.763554,0
4608,4608,0.100000,0.785645,0
4608,4608,0.100000,0.817198,0
4608,4608,0.100000,0.760542,0
4608,4608,0.100000,0.762865,0
4608,4608,0.100000,0.766712,0
4608,4608,0.100000,0.763142,0
4608,4608,0.100000,0.753911,0
4608,4608,0.100000,0.763103,0
4608,4608,0.100000,0.755100,0
5120,5120,0.100000,1.037269,0
5120,5120,0.100000,1.040531,0
5120,5120,0.100000,1.042827,0
5120,5120,0.100000,1.051806,0
5120,5120,0.100000,1.043320,0
5120,5120,0.100000,1.050527,0
5120,5120,0.100000,1.048427,0
5120,5120,0.100000,1.061682,0
5120,5120,0.100000,1.041432,0
5120,5120,0.100000,1.026361,0
5632,5632,0.100000,1.467178,1
5632,5632,0.100000,1.466952,1
5632,5632,0.100000,1.488774,1
5632,5632,0.100000,1.482374,1
5632,5632,0.100000,1.481822,1
5632,5632,0.100000,1.480865,1
5632,5632,0.100000,1.471169,1
5632,5632,0.100000,1.492961,1
5632,5632,0.100000,1.467589,1
5632,5632,0.100000,1.479026,1
6144,6144,0.100000,1.642838,0
6144,6144,0.100000,1.656446,0
6144,6144,0.100000,1.657286,0
6144,6144,0.100000,1.636411,0
6144,6144,0.100000,1.639188,0
6144,6144,0.100000,1.621892,0
6144,6144,0.100000,1.958024,0
6144,6144,0.100000,1.661171,0
6144,6144,0.100000,1.665237,0
6144,6144,0.100000,1.652531,0
6656,6656,0.100000,2.423540,1
6656,6656,0.100000,2.322393,1
6656,6656,0.100000,2.313730,1
6656,6656,0.100000,2.313632,1
6656,6656,0.100000,2.288302,1
6656,6656,0.100000,2.309040,1
6656,6656,0.100000,2.304099,1
6656,6656,0.100000,2.321976,1
6656,6656,0.100000,2.311783,1
6656,6656,0.100000,2.350435,1
7168,7168,0.100000,2.492427,0
7168,7168,0.100000,2.551669,0
7168,7168,0.100000,2.545110,0
7168,7168,0.100000,2.544663,0
7168,7168,0.100000,2.555118,0
7168,7168,0.100000,2.572928,0
7168,7168,0.100000,2.569586,0
7168,7168,0.100000,2.551301,0
7168,7168,0.100000,2.560513,0
7168,7168,0.100000,2.901189,0
7680,7680,0.100000,3.023577,0
7680,7680,0.100000,2.977928,0
7680,7680,0.100000,2.952602,0
7680,7680,0.100000,2.936295,0
7680,7680,0.100000,2.939122,0
7680,7680,0.100000,2.965310,0
7680,7680,0.100000,3.021960,0
7680,7680,0.100000,2.990174,0
7680,7680,0.100000,2.987481,0
7680,7680,0.100000,2.950049,0
8192,8192,0.100000,4.111454,1
8192,8192,0.100000,4.092366,1
8192,8192,0.100000,4.091625,1
8192,8192,0.100000,4.132792,1
8192,8192,0.100000,4.084145,1
8192,8192,0.100000,4.116259,1
8192,8192,0.100000,4.090119,1
8192,8192,0.100000,4.100032,1
8192,8192,0.100000,4.093934,1
8192,8192,0.100000,4.084693,1
8704,8704,0.100000,3.983600,0
8704,8704,0.100000,4.015746,0
8704,8704,0.100000,4.011510,0
8704,8704,0.100000,4.024123,0
8704,8704,0.100000,4.010715,0
8704,8704,0.100000,3.995170,0
8704,8704,0.100000,4.582394,0
8704,8704,0.100000,4.010653,0
8704,8704,0.100000,4.077497,0
8704,8704,0.100000,4.245156,0
9216,9216,0.100000,5.465782,1
9216,9216,0.100000,5.378826,1
9216,9216,0.100000,5.372810,1
9216,9216,0.100000,5.407484,1
9216,9216,0.100000,5.478676,1
9216,9216,0.100000,5.518718,1
9216,9216,0.100000,5.378919,1
9216,9216,0.100000,5.372491,1
9216,9216,0.100000,5.366080,1
9216,9216,0.100000,5.328931,1
9728,9728,0.100000,5.868301,1
9728,9728,0.100000,5.868667,1
9728,9728,0.100000,5.838105,1
9728,9728,0.100000,5.886867,1
9728,9728,0.100000,5.884234,1
9728,9728,0.100000,5.894427,1
9728,9728,0.100000,5.880420,1
9728,9728,0.100000,5.839372,1
9728,9728,0.100000,5.868928,1
9728,9728,0.100000,5.835059,1
10240,10240,0.100000,6.200856,0
10240,10240,0.100000,5.749399,0
10240,10240,0.100000,5.703659,0
10240,10240,0.100000,5.684695,0
10240,10240,0.100000,5.729445,0
10240,10240,0.100000,5.676329,0
10240,10240,0.100000,5.700438,0
10240,10240,0.100000,5.720420,0
10240,10240,0.100000,5.739381,0
10240,10240,0.100000,5.736219,0
