n,k,theta,tempo_esecuzione, result
512,512,0.900000,0.177105,1
512,512,0.900000,0.060041,1
512,512,0.900000,0.060823,1
512,512,0.900000,0.060134,1
512,512,0.900000,0.121391,1
512,512,0.900000,0.060921,1
512,512,0.900000,0.058676,1
512,512,0.900000,0.060259,1
512,512,0.900000,0.057792,1
512,512,0.900000,0.065516,1
1024,1024,0.900000,0.124455,0
1024,1024,0.900000,0.133360,0
1024,1024,0.900000,0.126307,0
1024,1024,0.900000,0.133906,0
1024,1024,0.900000,0.131457,0
1024,1024,0.900000,0.132725,0
1024,1024,0.900000,0.130577,0
1024,1024,0.900000,0.117764,0
1024,1024,0.900000,0.118272,0
1024,1024,0.900000,0.123145,0
1536,1536,0.900000,0.188804,1
1536,1536,0.900000,0.186649,1
1536,1536,0.900000,0.192459,1
1536,1536,0.900000,0.197716,1
1536,1536,0.900000,0.186967,1
1536,1536,0.900000,0.195778,1
1536,1536,0.900000,0.194312,1
1536,1536,0.900000,0.189647,1
1536,1536,0.900000,0.190593,1
1536,1536,0.900000,0.233217,1
2048,2048,0.900000,0.243349,0
2048,2048,0.900000,0.231030,0
2048,2048,0.900000,0.257357,0
2048,2048,0.900000,0.240834,0
2048,2048,0.900000,0.234407,0
2048,2048,0.900000,0.235600,0
2048,2048,0.900000,0.241926,0
2048,2048,0.900000,0.229292,0
2048,2048,0.900000,0.247765,0
2048,2048,0.900000,0.292865,0
2560,2560,0.900000,0.395593,1
2560,2560,0.900000,0.407028,1
2560,2560,0.900000,0.460248,1
2560,2560,0.900000,0.419525,1
2560,2560,0.900000,0.466710,1
2560,2560,0.900000,0.438455,1
2560,2560,0.900000,0.434261,1
2560,2560,0.900000,0.441788,1
2560,2560,0.900000,0.438572,1
2560,2560,0.900000,0.449872,1
