n,k,theta,tempo_esecuzione, result
512,512,0.100000,0.210857,1,1
1024,1024,0.100000,0.090901,0,1
1536,1536,0.100000,0.150172,1,1
2048,2048,0.100000,0.200430,0,1
2560,2560,0.100000,0.274452,0,1
3072,3072,0.100000,0.332246,0,1
3584,3584,0.100000,0.392507,0,1
4096,4096,0.100000,0.506389,0,1
4608,4608,0.100000,0.600820,0,1
5120,5120,0.100000,0.785374,0,1
5632,5632,0.100000,1.020547,1,1
6144,6144,0.100000,1.128807,0,1
6656,6656,0.100000,2.174322,1,1
7168,7168,0.100000,2.311218,0,1
7680,7680,0.100000,2.562370,0,1
8192,8192,0.100000,3.377874,1,1
8704,8704,0.100000,3.346189,0,1
9216,9216,0.100000,4.294430,1,1
9728,9728,0.100000,4.785837,1,1
10240,10240,0.100000,4.984083,0,1
