n,k,theta,tempo_esecuzione, result,check
512,512,0.300000,0.226240,1,1
512,512,0.300000,0.136192,1,1
512,512,0.300000,0.103053,1,1
512,512,0.300000,0.089336,1,1
512,512,0.300000,0.157052,1,1
512,512,0.300000,0.115409,1,1
512,512,0.300000,0.151516,1,1
512,512,0.300000,0.095980,1,1
512,512,0.300000,0.147018,1,1
512,512,0.300000,0.090987,1,1
1024,1024,0.300000,0.226044,1,1
1024,1024,0.300000,0.201058,1,1
1024,1024,0.300000,0.234568,1,1
1024,1024,0.300000,0.234654,1,1
1024,1024,0.300000,0.220319,1,1
1024,1024,0.300000,0.248754,1,1
1024,1024,0.300000,0.183261,1,1
1024,1024,0.300000,0.318632,1,1
1024,1024,0.300000,0.191349,1,1
1024,1024,0.300000,0.187237,1,1
1536,1536,0.300000,0.292584,1,1
1536,1536,0.300000,0.298914,1,1
1536,1536,0.300000,0.324361,1,1
1536,1536,0.300000,0.309509,1,1
1536,1536,0.300000,0.456450,1,1
1536,1536,0.300000,0.394115,1,1
1536,1536,0.300000,0.438977,1,1
1536,1536,0.300000,0.392131,1,1
1536,1536,0.300000,0.389755,1,1
1536,1536,0.300000,0.406849,1,1
2048,2048,0.300000,0.514634,1,1
2048,2048,0.300000,0.562969,1,1
2048,2048,0.300000,0.583575,1,1
2048,2048,0.300000,0.584899,1,1
2048,2048,0.300000,0.711188,1,1
2048,2048,0.300000,0.696237,1,1
2048,2048,0.300000,0.616517,1,1
2048,2048,0.300000,0.691692,1,1
2048,2048,0.300000,0.687522,1,1
2048,2048,0.300000,0.648098,1,1
2560,2560,0.300000,0.767594,0,1
2560,2560,0.300000,0.746610,0,1
2560,2560,0.300000,0.755638,0,1
2560,2560,0.300000,0.839783,0,1
2560,2560,0.300000,0.796556,0,1
2560,2560,0.300000,0.770194,0,1
2560,2560,0.300000,0.757574,0,1
2560,2560,0.300000,0.710330,0,1
2560,2560,0.300000,0.720043,0,1
2560,2560,0.300000,0.852636,0,1
3072,3072,0.300000,1.033185,0,1
3072,3072,0.300000,0.921598,0,1
3072,3072,0.300000,1.081124,0,1
3072,3072,0.300000,1.015559,0,1
3072,3072,0.300000,0.980121,0,1
3072,3072,0.300000,0.854015,0,1
3072,3072,0.300000,0.900484,0,1
3072,3072,0.300000,0.944355,0,1
3072,3072,0.300000,1.047039,0,1
3072,3072,0.300000,0.966422,0,1
3584,3584,0.300000,1.214331,1,1
3584,3584,0.300000,1.547807,1,1
3584,3584,0.300000,1.296620,1,1
3584,3584,0.300000,1.224086,1,1
3584,3584,0.300000,1.300914,1,1
3584,3584,0.300000,1.182546,1,1
3584,3584,0.300000,1.310143,1,1
3584,3584,0.300000,1.114988,1,1
3584,3584,0.300000,1.410917,1,1
3584,3584,0.300000,1.313191,1,1
4096,4096,0.300000,1.295250,0,1
4096,4096,0.300000,1.520776,0,1
4096,4096,0.300000,1.432478,0,1
4096,4096,0.300000,1.322097,0,1
4096,4096,0.300000,1.297481,0,1
4096,4096,0.300000,1.318298,0,1
4096,4096,0.300000,1.305119,0,1
4096,4096,0.300000,1.469793,0,1
4096,4096,0.300000,1.301331,0,1
4096,4096,0.300000,1.381224,0,1
4608,4608,0.300000,1.701994,0,1
4608,4608,0.300000,1.748998,0,1
4608,4608,0.300000,1.658619,0,1
4608,4608,0.300000,1.589549,0,1
4608,4608,0.300000,1.450417,0,1
4608,4608,0.300000,1.527394,0,1
4608,4608,0.300000,1.875555,0,1
4608,4608,0.300000,1.710938,0,1
4608,4608,0.300000,1.619371,0,1
4608,4608,0.300000,1.686866,0,1
5120,5120,0.300000,1.912642,0,1
5120,5120,0.300000,1.788261,0,1
5120,5120,0.300000,2.011180,0,1
5120,5120,0.300000,1.826990,0,1
5120,5120,0.300000,1.634769,0,1
5120,5120,0.300000,1.765152,0,1
5120,5120,0.300000,1.879313,0,1
5120,5120,0.300000,1.747994,0,1
5120,5120,0.300000,1.852571,0,1
5120,5120,0.300000,1.706692,0,1
5632,5632,0.300000,2.005246,0,1
5632,5632,0.300000,2.093665,0,1
5632,5632,0.300000,1.910711,0,1
5632,5632,0.300000,2.035337,0,1
5632,5632,0.300000,1.977486,0,1
5632,5632,0.300000,1.997722,0,1
5632,5632,0.300000,1.853834,0,1
5632,5632,0.300000,2.155491,0,1
5632,5632,0.300000,2.098037,0,1
5632,5632,0.300000,1.790244,0,1
6144,6144,0.300000,2.283514,0,1
6144,6144,0.300000,2.381019,0,1
6144,6144,0.300000,2.212947,0,1
6144,6144,0.300000,2.360725,0,1
6144,6144,0.300000,2.467099,0,1
6144,6144,0.300000,2.155414,0,1
6144,6144,0.300000,2.165337,0,1
6144,6144,0.300000,2.307502,0,1
6144,6144,0.300000,1.935416,0,1
6144,6144,0.300000,2.024556,0,1
6656,6656,0.300000,2.313670,0,1
6656,6656,0.300000,2.258593,0,1
6656,6656,0.300000,2.326621,0,1
6656,6656,0.300000,2.137190,0,1
6656,6656,0.300000,1.974958,0,1
6656,6656,0.300000,2.215994,0,1
6656,6656,0.300000,1.987618,0,1
6656,6656,0.300000,1.974948,0,1
6656,6656,0.300000,2.273904,0,1
6656,6656,0.300000,2.367918,0,1
7168,7168,0.300000,3.044968,1,1
7168,7168,0.300000,2.954939,1,1
7168,7168,0.300000,3.366004,1,1
7168,7168,0.300000,2.598745,1,1
7168,7168,0.300000,2.788410,1,1
7168,7168,0.300000,2.785668,1,1
7168,7168,0.300000,2.578129,1,1
7168,7168,0.300000,3.333659,1,1
7168,7168,0.300000,3.491895,1,1
7168,7168,0.300000,3.064862,1,1
7680,7680,0.300000,3.587770,1,1
7680,7680,0.300000,3.144036,1,1
7680,7680,0.300000,3.454624,1,1
7680,7680,0.300000,2.892815,1,1
7680,7680,0.300000,3.025956,1,1
7680,7680,0.300000,2.851998,1,1
7680,7680,0.300000,3.267465,1,1
7680,7680,0.300000,3.339885,1,1
7680,7680,0.300000,3.118220,1,1
7680,7680,0.300000,2.947143,1,1
8192,8192,0.300000,3.297658,1,1
8192,8192,0.300000,3.282991,1,1
8192,8192,0.300000,3.715037,1,1
8192,8192,0.300000,3.488996,1,1
8192,8192,0.300000,3.130013,1,1
8192,8192,0.300000,3.838603,1,1
