n,k,theta,tempo_esecuzione, result
512,512,0.100000,0.055337,1
512,512,0.100000,0.055342,1
512,512,0.100000,0.054759,1
512,512,0.100000,0.055071,1
512,512,0.100000,0.055169,1
512,512,0.100000,0.054744,1
512,512,0.100000,0.054905,1
512,512,0.100000,0.054885,1
512,512,0.100000,0.054849,1
512,512,0.100000,0.055177,1
1024,1024,0.100000,0.441796,0
1024,1024,0.100000,0.446825,0
1024,1024,0.100000,0.447701,0
1024,1024,0.100000,0.447943,0
1024,1024,0.100000,0.445573,0
1024,1024,0.100000,0.451503,0
1024,1024,0.100000,0.452468,0
1024,1024,0.100000,0.451512,0
1024,1024,0.100000,0.450194,0
1024,1024,0.100000,0.452047,0
1536,1536,0.100000,1.566563,1
1536,1536,0.100000,1.566111,1
1536,1536,0.100000,1.570360,1
1536,1536,0.100000,1.557769,1
1536,1536,0.100000,1.553608,1
1536,1536,0.100000,1.554413,1
1536,1536,0.100000,1.552676,1
1536,1536,0.100000,1.553370,1
1536,1536,0.100000,1.554723,1
1536,1536,0.100000,1.552748,1
2048,2048,0.100000,3.646742,0
2048,2048,0.100000,3.682003,0
2048,2048,0.100000,3.719199,0
2048,2048,0.100000,3.625420,0
2048,2048,0.100000,3.604027,0
2048,2048,0.100000,3.621780,0
2048,2048,0.100000,3.624162,0
2048,2048,0.100000,3.618482,0
2048,2048,0.100000,3.608972,0
2048,2048,0.100000,3.625284,0
2560,2560,0.100000,7.149844,0
2560,2560,0.100000,7.167132,0
2560,2560,0.100000,7.087157,0
2560,2560,0.100000,7.080717,0
2560,2560,0.100000,7.085698,0
2560,2560,0.100000,7.107887,0
2560,2560,0.100000,7.157321,0
2560,2560,0.100000,7.187466,0
2560,2560,0.100000,7.184628,0
2560,2560,0.100000,7.196535,0
