n,k,theta,tempo_esecuzione, result
512,512,0.100000,0.055182,1
512,512,0.100000,0.054775,1
512,512,0.100000,0.054821,1
512,512,0.100000,0.054602,1
512,512,0.100000,0.055216,1
512,512,0.100000,0.054851,1
512,512,0.100000,0.055094,1
512,512,0.100000,0.055035,1
512,512,0.100000,0.054838,1
512,512,0.100000,0.054624,1
1024,1024,0.100000,0.433209,0
1024,1024,0.100000,0.443332,0
1024,1024,0.100000,0.438136,0
1024,1024,0.100000,0.436240,0
1024,1024,0.100000,0.435270,0
1024,1024,0.100000,0.434419,0
1024,1024,0.100000,0.435598,0
1024,1024,0.100000,0.433542,0
1024,1024,0.100000,0.435184,0
1024,1024,0.100000,0.435553,0
1536,1536,0.100000,1.493866,1
1536,1536,0.100000,1.497995,1
1536,1536,0.100000,1.494152,1
1536,1536,0.100000,1.495892,1
1536,1536,0.100000,1.513900,1
1536,1536,0.100000,1.516144,1
1536,1536,0.100000,1.516012,1
1536,1536,0.100000,1.518243,1
1536,1536,0.100000,1.520400,1
1536,1536,0.100000,1.517281,1
2048,2048,0.100000,3.578386,0
2048,2048,0.100000,3.558562,0
2048,2048,0.100000,3.554517,0
2048,2048,0.100000,3.569347,0
2048,2048,0.100000,3.560298,0
2048,2048,0.100000,3.563970,0
2048,2048,0.100000,3.583021,0
2048,2048,0.100000,3.588300,0
2048,2048,0.100000,3.603492,0
2048,2048,0.100000,3.590589,0
2560,2560,0.100000,7.073131,0
2560,2560,0.100000,7.066875,0
2560,2560,0.100000,6.974102,0
2560,2560,0.100000,7.090152,0
2560,2560,0.100000,7.107402,0
2560,2560,0.100000,7.083003,0
2560,2560,0.100000,7.085400,0
2560,2560,0.100000,7.084021,0
2560,2560,0.100000,6.983213,0
2560,2560,0.100000,7.029326,0
3072,3072,0.100000,12.135130,0
3072,3072,0.100000,12.042782,0
3072,3072,0.100000,12.085966,0
3072,3072,0.100000,12.165618,0
3072,3072,0.100000,12.084679,0
3072,3072,0.100000,12.191054,0
3072,3072,0.100000,12.159916,0
3072,3072,0.100000,12.207772,0
3072,3072,0.100000,12.207412,0
3072,3072,0.100000,12.267261,0
3584,3584,0.100000,19.463056,0
3584,3584,0.100000,19.396276,0
3584,3584,0.100000,20.253237,0
3584,3584,0.100000,20.647996,0
3584,3584,0.100000,20.220509,0
3584,3584,0.100000,20.003650,0
3584,3584,0.100000,19.957324,0
3584,3584,0.100000,20.107993,0
3584,3584,0.100000,20.178914,0
3584,3584,0.100000,20.131111,0
4096,4096,0.100000,30.191274,0
4096,4096,0.100000,29.783579,0
4096,4096,0.100000,29.309337,0
4096,4096,0.100000,29.150435,0
4096,4096,0.100000,29.059675,0
4096,4096,0.100000,29.153692,0
4096,4096,0.100000,29.053362,0
4096,4096,0.100000,29.115116,0
4096,4096,0.100000,29.040242,0
4096,4096,0.100000,29.118354,0
4608,4608,0.100000,41.509289,0
4608,4608,0.100000,41.469961,0
4608,4608,0.100000,41.327419,0
4608,4608,0.100000,41.300819,0
4608,4608,0.100000,41.387558,0
4608,4608,0.100000,41.319140,0
4608,4608,0.100000,41.321718,0
4608,4608,0.100000,41.335176,0
4608,4608,0.100000,41.390433,0
4608,4608,0.100000,41.392537,0
5120,5120,0.100000,56.604330,0
5120,5120,0.100000,56.701370,0
5120,5120,0.100000,56.591263,0
5120,5120,0.100000,56.581047,0
5120,5120,0.100000,56.619802,0
5120,5120,0.100000,56.612436,0
5120,5120,0.100000,56.498860,0
5120,5120,0.100000,56.656241,0
5120,5120,0.100000,56.496829,0
5120,5120,0.100000,56.717336,0
