n,k,theta,tempo_esecuzione, result,check
512,512,0.300000,0.082899,1,1
512,512,0.300000,0.082421,1,1
512,512,0.300000,0.082834,1,1
512,512,0.300000,0.101487,1,1
512,512,0.300000,0.082642,1,1
512,512,0.300000,0.082862,1,1
512,512,0.300000,0.088447,1,1
512,512,0.300000,0.104574,1,1
512,512,0.300000,0.098839,1,1
512,512,0.300000,0.084661,1,1
1024,1024,0.300000,0.623430,1,1
1024,1024,0.300000,0.650585,1,1
1024,1024,0.300000,0.528634,1,1
1024,1024,0.300000,0.507119,1,1
1024,1024,0.300000,0.498064,1,1
1024,1024,0.300000,0.514756,1,1
1024,1024,0.300000,0.606741,1,1
1024,1024,0.300000,0.576634,1,1
1024,1024,0.300000,0.559398,1,1
1024,1024,0.300000,0.496438,1,1
1536,1536,0.300000,1.793383,1,1
1536,1536,0.300000,1.768742,1,1
1536,1536,0.300000,1.794881,1,1
1536,1536,0.300000,1.834762,1,1
1536,1536,0.300000,1.768333,1,1
1536,1536,0.300000,1.835856,1,1
1536,1536,0.300000,1.820411,1,1
1536,1536,0.300000,1.787506,1,1
1536,1536,0.300000,2.006171,1,1
1536,1536,0.300000,2.049506,1,1
2048,2048,0.300000,4.720650,1,1
2048,2048,0.300000,4.605776,1,1
2048,2048,0.300000,4.496878,1,1
2048,2048,0.300000,4.932647,1,1
2048,2048,0.300000,4.304695,1,1
2048,2048,0.300000,4.350750,1,1
2048,2048,0.300000,4.500587,1,1
2048,2048,0.300000,4.228365,1,1
2048,2048,0.300000,4.121041,1,1
2048,2048,0.300000,4.452918,1,1
2560,2560,0.300000,8.182975,0,1
2560,2560,0.300000,8.120852,0,1
2560,2560,0.300000,8.215074,0,1
2560,2560,0.300000,8.375350,0,1
2560,2560,0.300000,7.940273,0,1
2560,2560,0.300000,8.164099,0,1
2560,2560,0.300000,8.018734,0,1
2560,2560,0.300000,7.982974,0,1
2560,2560,0.300000,8.015733,0,1
2560,2560,0.300000,7.982899,0,1
3072,3072,0.300000,14.133220,0,1
3072,3072,0.300000,13.508351,0,1
3072,3072,0.300000,13.645664,0,1
3072,3072,0.300000,13.634926,0,1
3072,3072,0.300000,14.342379,0,1
3072,3072,0.300000,13.773607,0,1
3072,3072,0.300000,13.466170,0,1
3072,3072,0.300000,13.573734,0,1
3072,3072,0.300000,14.052570,0,1
3072,3072,0.300000,14.035182,0,1
3584,3584,0.300000,23.357247,1,1
