n,k,theta,tempo_esecuzione, result
512,512,0.700000,0.059787,0
512,512,0.700000,0.059237,0
512,512,0.700000,0.059066,0
512,512,0.700000,0.059309,0
512,512,0.700000,0.059024,0
512,512,0.700000,0.059351,0
512,512,0.700000,0.059134,0
512,512,0.700000,0.059182,0
512,512,0.700000,0.059503,0
512,512,0.700000,0.059772,0
1024,1024,0.700000,0.475297,0
1024,1024,0.700000,0.504095,0
1024,1024,0.700000,0.494199,0
1024,1024,0.700000,0.485687,0
1024,1024,0.700000,0.604744,0
1024,1024,0.700000,0.630418,0
1024,1024,0.700000,0.484819,0
1024,1024,0.700000,0.484034,0
1024,1024,0.700000,0.481095,0
1024,1024,0.700000,0.474107,0
1536,1536,0.700000,1.608174,0
1536,1536,0.700000,1.609741,0
1536,1536,0.700000,1.616012,0
1536,1536,0.700000,1.608490,0
1536,1536,0.700000,1.621483,0
1536,1536,0.700000,1.627405,0
1536,1536,0.700000,1.623099,0
1536,1536,0.700000,1.623583,0
1536,1536,0.700000,1.627178,0
1536,1536,0.700000,1.627296,0
2048,2048,0.700000,3.796173,1
2048,2048,0.700000,3.824182,1
2048,2048,0.700000,3.843497,1
2048,2048,0.700000,3.879564,1
2048,2048,0.700000,3.829191,1
2048,2048,0.700000,3.800230,1
2048,2048,0.700000,3.803381,1
2048,2048,0.700000,3.824968,1
2048,2048,0.700000,3.853793,1
2048,2048,0.700000,3.847685,1
2560,2560,0.700000,7.418098,0
2560,2560,0.700000,7.440553,0
2560,2560,0.700000,7.450957,0
2560,2560,0.700000,7.462915,0
2560,2560,0.700000,7.515494,0
2560,2560,0.700000,7.461211,0
2560,2560,0.700000,7.351073,0
2560,2560,0.700000,7.299909,0
2560,2560,0.700000,7.274847,0
2560,2560,0.700000,7.346951,0
3072,3072,0.700000,12.618437,0
3072,3072,0.700000,12.695485,0
3072,3072,0.700000,12.689622,0
3072,3072,0.700000,12.501701,0
3072,3072,0.700000,12.661097,0
3072,3072,0.700000,12.779342,0
3072,3072,0.700000,12.800737,0
3072,3072,0.700000,13.041591,0
3072,3072,0.700000,12.883294,0
3072,3072,0.700000,12.791511,0
3584,3584,0.700000,20.498680,1
3584,3584,0.700000,20.669139,1
3584,3584,0.700000,20.249444,1
3584,3584,0.700000,20.198483,1
3584,3584,0.700000,20.223007,1
3584,3584,0.700000,20.289612,1
3584,3584,0.700000,20.155183,1
3584,3584,0.700000,20.272062,1
3584,3584,0.700000,20.325700,1
3584,3584,0.700000,20.273492,1
4096,4096,0.700000,30.115162,0
4096,4096,0.700000,30.235680,0
4096,4096,0.700000,30.360005,0
4096,4096,0.700000,30.780060,0
4096,4096,0.700000,30.277254,0
4096,4096,0.700000,30.180726,0
4096,4096,0.700000,30.110664,0
4096,4096,0.700000,31.323318,0
4096,4096,0.700000,30.542233,0
4096,4096,0.700000,30.155522,0
4608,4608,0.700000,43.250380,0
4608,4608,0.700000,43.510039,0
4608,4608,0.700000,43.016026,0
4608,4608,0.700000,43.015506,0
4608,4608,0.700000,43.600307,0
4608,4608,0.700000,43.546537,0
4608,4608,0.700000,43.260251,0
4608,4608,0.700000,43.250746,0
4608,4608,0.700000,42.911483,0
4608,4608,0.700000,43.098650,0
5120,5120,0.700000,59.325891,0
5120,5120,0.700000,60.198206,0
5120,5120,0.700000,58.956867,0
5120,5120,0.700000,58.877080,0
5120,5120,0.700000,58.809797,0
5120,5120,0.700000,58.388881,0
5120,5120,0.700000,58.392473,0
5120,5120,0.700000,58.393173,0
5120,5120,0.700000,58.191900,0
5120,5120,0.700000,60.775001,0
5632,5632,0.700000,80.577214,1
5632,5632,0.700000,79.668531,1
5632,5632,0.700000,78.942133,1
5632,5632,0.700000,78.567716,1
5632,5632,0.700000,78.859076,1
5632,5632,0.700000,77.575603,1
5632,5632,0.700000,77.487306,1
5632,5632,0.700000,77.003538,1
5632,5632,0.700000,77.367845,1
5632,5632,0.700000,77.340211,1
6144,6144,0.700000,100.074379,0
6144,6144,0.700000,100.037139,0
6144,6144,0.700000,99.943448,0
6144,6144,0.700000,100.177939,0
6144,6144,0.700000,100.006408,0
6144,6144,0.700000,99.856428,0
6144,6144,0.700000,100.032431,0
6144,6144,0.700000,100.833267,0
6144,6144,0.700000,100.478317,0
6144,6144,0.700000,100.742483,0
6656,6656,0.700000,128.780428,0
6656,6656,0.700000,127.323690,0
6656,6656,0.700000,127.065907,0
6656,6656,0.700000,126.567829,0
6656,6656,0.700000,127.489455,0
6656,6656,0.700000,126.810123,0
6656,6656,0.700000,126.301401,0
6656,6656,0.700000,126.196482,0
6656,6656,0.700000,125.623745,0
6656,6656,0.700000,126.846900,0
7168,7168,0.700000,158.069915,1
7168,7168,0.700000,158.193860,1
7168,7168,0.700000,157.394850,1
7168,7168,0.700000,158.234994,1
7168,7168,0.700000,157.748797,1
7168,7168,0.700000,158.366229,1
7168,7168,0.700000,158.688078,1
7168,7168,0.700000,157.051234,1
7168,7168,0.700000,157.678124,1
7168,7168,0.700000,158.387191,1
7680,7680,0.700000,193.254717,0
7680,7680,0.700000,194.119526,0
7680,7680,0.700000,194.198961,0
7680,7680,0.700000,194.733914,0
7680,7680,0.700000,196.896579,0
7680,7680,0.700000,194.810169,0
7680,7680,0.700000,193.009699,0
7680,7680,0.700000,193.360603,0
7680,7680,0.700000,195.495169,0
7680,7680,0.700000,195.985293,0
