n,k,theta,tempo_esecuzione, result
100,100,0.400000,0.178393,0
100,100,0.400000,0.007081,0
100,100,0.400000,0.007117,0
100,100,0.400000,0.006901,0
100,100,0.400000,0.007013,0
100,100,0.400000,0.007209,0
100,100,0.400000,0.007029,0
100,100,0.400000,0.007161,0
100,100,0.400000,0.007112,0
100,100,0.400000,0.007122,0
100,100,0.400000,0.007235,0
100,100,0.400000,0.007319,0
100,100,0.400000,0.007141,0
100,100,0.400000,0.007010,0
100,100,0.400000,0.007745,0
100,100,0.400000,0.019320,0
100,100,0.400000,0.007700,0
100,100,0.400000,0.007243,0
100,100,0.400000,0.007123,0
100,100,0.400000,0.006869,0
100,100,0.400000,0.006888,0
100,100,0.400000,0.007130,0
100,100,0.400000,0.007341,0
100,100,0.400000,0.006954,0
100,100,0.400000,0.006916,0
100,100,0.400000,0.007487,0
100,100,0.400000,0.007074,0
100,100,0.400000,0.006978,0
100,100,0.400000,0.007166,0
100,100,0.400000,0.007038,0
200,200,0.400000,0.018489,1
200,200,0.400000,0.018882,1
200,200,0.400000,0.018181,1
200,200,0.400000,0.018811,1
200,200,0.400000,0.042595,1
200,200,0.400000,0.018321,1
200,200,0.400000,0.018399,1
200,200,0.400000,0.018690,1
200,200,0.400000,0.018825,1
200,200,0.400000,0.018365,1
200,200,0.400000,0.018816,1
200,200,0.400000,0.018612,1
200,200,0.400000,0.018361,1
200,200,0.400000,0.017725,1
200,200,0.400000,0.018848,1
200,200,0.400000,0.018462,1
200,200,0.400000,0.018621,1
200,200,0.400000,0.017346,1
200,200,0.400000,0.017881,1
200,200,0.400000,0.018833,1
200,200,0.400000,0.018419,1
200,200,0.400000,0.018275,1
200,200,0.400000,0.042277,1
200,200,0.400000,0.018488,1
200,200,0.400000,0.018855,1
200,200,0.400000,0.018694,1
200,200,0.400000,0.019374,1
200,200,0.400000,0.021565,1
200,200,0.400000,0.040519,1
200,200,0.400000,0.018850,1
300,300,0.400000,0.043550,0
300,300,0.400000,0.042236,0
300,300,0.400000,0.041735,0
300,300,0.400000,0.043282,0
300,300,0.400000,0.042762,0
300,300,0.400000,0.041252,0
300,300,0.400000,0.042542,0
300,300,0.400000,0.042987,0
300,300,0.400000,0.043772,0
300,300,0.400000,0.042955,0
300,300,0.400000,0.042937,0
300,300,0.400000,0.042827,0
300,300,0.400000,0.042080,0
300,300,0.400000,0.042437,0
300,300,0.400000,0.042594,0
300,300,0.400000,0.042003,0
300,300,0.400000,0.042517,0
300,300,0.400000,0.043159,0
300,300,0.400000,0.041397,0
300,300,0.400000,0.041481,0
300,300,0.400000,0.041776,0
300,300,0.400000,0.041970,0
300,300,0.400000,0.041380,0
300,300,0.400000,0.081292,0
300,300,0.400000,0.081217,0
300,300,0.400000,0.042539,0
300,300,0.400000,0.041945,0
300,300,0.400000,0.043110,0
300,300,0.400000,0.043341,0
300,300,0.400000,0.043354,0
400,400,0.400000,0.074033,1
400,400,0.400000,0.074777,1
400,400,0.400000,0.073006,1
400,400,0.400000,0.071228,1
400,400,0.400000,0.072323,1
400,400,0.400000,0.121138,1
400,400,0.400000,0.069974,1
400,400,0.400000,0.068716,1
400,400,0.400000,0.070021,1
400,400,0.400000,0.069162,1
400,400,0.400000,0.070398,1
400,400,0.400000,0.071076,1
400,400,0.400000,0.070278,1
400,400,0.400000,0.069870,1
400,400,0.400000,0.069563,1
400,400,0.400000,0.068519,1
400,400,0.400000,0.069566,1
400,400,0.400000,0.071968,1
400,400,0.400000,0.069881,1
