n,k,theta,tempo_esecuzione, result
100,100,0.400000,0.000569,0
100,100,0.400000,0.000533,0
100,100,0.400000,0.000520,0
100,100,0.400000,0.000552,0
100,100,0.400000,0.000558,0
100,100,0.400000,0.000523,0
100,100,0.400000,0.000501,0
100,100,0.400000,0.000470,0
100,100,0.400000,0.000468,0
100,100,0.400000,0.000467,0
100,100,0.400000,0.000475,0
100,100,0.400000,0.000481,0
100,100,0.400000,0.000475,0
100,100,0.400000,0.000490,0
100,100,0.400000,0.000464,0
100,100,0.400000,0.000481,0
100,100,0.400000,0.000474,0
100,100,0.400000,0.000488,0
100,100,0.400000,0.000489,0
100,100,0.400000,0.000479,0
100,100,0.400000,0.000481,0
100,100,0.400000,0.000485,0
100,100,0.400000,0.000476,0
100,100,0.400000,0.000475,0
100,100,0.400000,0.000476,0
100,100,0.400000,0.000497,0
100,100,0.400000,0.000476,0
100,100,0.400000,0.000494,0
100,100,0.400000,0.000471,0
100,100,0.400000,0.000486,0
200,200,0.400000,0.003863,1
200,200,0.400000,0.003805,1
200,200,0.400000,0.003811,1
200,200,0.400000,0.003811,1
200,200,0.400000,0.003851,1
200,200,0.400000,0.003797,1
200,200,0.400000,0.003792,1
200,200,0.400000,0.003854,1
200,200,0.400000,0.003804,1
200,200,0.400000,0.003837,1
200,200,0.400000,0.003814,1
200,200,0.400000,0.003864,1
200,200,0.400000,0.003803,1
200,200,0.400000,0.003803,1
200,200,0.400000,0.003825,1
200,200,0.400000,0.003840,1
200,200,0.400000,0.003817,1
200,200,0.400000,0.003824,1
200,200,0.400000,0.003841,1
200,200,0.400000,0.003826,1
200,200,0.400000,0.003807,1
200,200,0.400000,0.003827,1
200,200,0.400000,0.003842,1
200,200,0.400000,0.003817,1
200,200,0.400000,0.003829,1
200,200,0.400000,0.003817,1
200,200,0.400000,0.003848,1
200,200,0.400000,0.003843,1
200,200,0.400000,0.003848,1
200,200,0.400000,0.003845,1
300,300,0.400000,0.012146,0
300,300,0.400000,0.012190,0
300,300,0.400000,0.012234,0
300,300,0.400000,0.012222,0
300,300,0.400000,0.012260,0
300,300,0.400000,0.012205,0
300,300,0.400000,0.012189,0
300,300,0.400000,0.012202,0
300,300,0.400000,0.012172,0
300,300,0.400000,0.012210,0
300,300,0.400000,0.012191,0
300,300,0.400000,0.012189,0
300,300,0.400000,0.012220,0
300,300,0.400000,0.012161,0
300,300,0.400000,0.012133,0
300,300,0.400000,0.012188,0
300,300,0.400000,0.012235,0
300,300,0.400000,0.012205,0
300,300,0.400000,0.012195,0
300,300,0.400000,0.012145,0
300,300,0.400000,0.012224,0
300,300,0.400000,0.012190,0
300,300,0.400000,0.012315,0
300,300,0.400000,0.012222,0
300,300,0.400000,0.012190,0
